1m | MACD(13,26,8) | 胜率: 39.13% | 收益: -0.54%
1m | MACD(13,26,9) | 胜率: 24.44% | 收益: -1.90%
1m | MACD(13,27,5) | 胜率: 27.08% | 收益: -1.66%
1m | MACD(13,27,6) | 胜率: 35.56% | 收益: -0.50%
1m | MACD(13,27,7) | 胜率: 28.21% | 收益: -0.59%
1m | MACD(13,27,8) | 胜率: 18.60% | 收益: -2.22%
1m | MACD(13,27,9) | 胜率: 16.28% | 收益: -2.30%
1m | MACD(13,28,5) | 胜率: 30.77% | 收益: -0.67%
1m | MACD(13,28,6) | 胜率: 17.50% | 收益: -2.10%
1m | MACD(13,28,7) | 胜率: 18.18% | 收益: -2.34%
1m | MACD(13,28,8) | 胜率: 23.40% | 收益: -2.06%
1m | MACD(13,28,9) | 胜率: 20.00% | 收益: -2.38%
1m | MACD(13,29,5) | 胜率: 21.74% | 收益: -2.02%
1m | MACD(13,29,6) | 胜率: 22.45% | 收益: -2.14%
1m | MACD(13,29,7) | 胜率: 19.23% | 收益: -2.46%
1m | MACD(13,29,8) | 胜率: 20.37% | 收益: -2.42%
1m | MACD(13,29,9) | 胜率: 18.87% | 收益: -2.50%
1m | MACD(13,30,5) | 胜率: 21.57% | 收益: -2.18%
1m | MACD(13,30,6) | 胜率: 18.37% | 收益: -1.62%
1m | MACD(13,30,7) | 胜率: 18.18% | 收益: -1.94%
1m | MACD(13,30,8) | 胜率: 22.81% | 收益: -2.49%
1m | MACD(13,30,9) | 胜率: 22.22% | 收益: -0.75%
1m | MACD(13,31,5) | 胜率: 19.64% | 收益: -2.10%
1m | MACD(13,31,6) | 胜率: 20.37% | 收益: -1.74%
1m | MACD(13,31,7) | 胜率: 23.08% | 收益: -0.75%
1m | MACD(13,31,8) | 胜率: 25.00% | 收益: -0.71%
1m | MACD(13,31,9) | 胜率: 29.03% | 收益: -0.20%
1m | MACD(13,32,5) | 胜率: 21.05% | 收益: -0.87%
1m | MACD(13,32,6) | 胜率: 22.86% | 收益: -0.75%
1m | MACD(13,32,7) | 胜率: 26.67% | 收益: -0.24%
1m | MACD(13,32,8) | 胜率: 30.00% | 收益: -0.44%
1m | MACD(13,32,9) | 胜率: 31.82% | 收益: 1.10%
1m | MACD(13,33,5) | 胜率: 26.67% | 收益: -0.24%
1m | MACD(13,33,6) | 胜率: 30.00% | 收益: -0.24%
1m | MACD(13,33,7) | 胜率: 22.73% | 收益: 0.94%
1m | MACD(13,33,8) | 胜率: 25.00% | 收益: 0.90%
1m | MACD(13,33,9) | 胜率: 35.00% | 收益: 1.06%
1m | MACD(13,34,5) | 胜率: 26.09% | 收益: 0.86%
1m | MACD(13,34,6) | 胜率: 25.00% | 收益: 0.90%
1m | MACD(13,34,7) | 胜率: 25.00% | 收益: 0.63%
1m | MACD(13,34,8) | 胜率: 35.00% | 收益: 0.94%
1m | MACD(13,34,9) | 胜率: 30.00% | 收益: 0.86%
1m | MACD(13,35,5) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(13,35,6) | 胜率: 35.00% | 收益: 0.90%
1m | MACD(13,35,7) | 胜率: 33.33% | 收益: 0.82%
1m | MACD(13,35,8) | 胜率: 25.00% | 收益: 0.71%
1m | MACD(13,35,9) | 胜率: 30.00% | 收益: 1.14%
1m | MACD(13,36,5) | 胜率: 33.33% | 收益: 0.75%
1m | MACD(13,36,6) | 胜率: 25.00% | 收益: 0.71%
1m | MACD(13,36,7) | 胜率: 30.00% | 收益: 1.14%
1m | MACD(13,36,8) | 胜率: 30.00% | 收益: 1.02%
1m | MACD(13,36,9) | 胜率: 33.33% | 收益: 0.90%
1m | MACD(13,37,5) | 胜率: 30.00% | 收益: 1.14%
1m | MACD(13,37,6) | 胜率: 30.00% | 收益: 0.94%
1m | MACD(13,37,7) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(13,37,8) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(13,37,9) | 胜率: 30.00% | 收益: 0.74%
1m | MACD(13,38,5) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(13,38,6) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(13,38,7) | 胜率: 30.00% | 收益: 0.74%
1m | MACD(13,38,8) | 胜率: 33.33% | 收益: 0.86%
1m | MACD(13,38,9) | 胜率: 37.50% | 收益: 1.10%
1m | MACD(13,39,5) | 胜率: 30.00% | 收益: 0.98%
1m | MACD(13,39,6) | 胜率: 30.00% | 收益: 1.21%
1m | MACD(13,39,7) | 胜率: 28.57% | 收益: 0.98%
1m | MACD(13,39,8) | 胜率: 28.57% | 收益: 1.10%
1m | MACD(13,39,9) | 胜率: 33.33% | 收益: 1.21%
1m | MACD(14,25,5) | 胜率: 21.74% | 收益: -1.74%
